English	Term1	Term2	Term1_Audio	Term2_Audio	tags
"sports; exercise<br><img src=""39655149_507.jpg"" width=""50%"" height=""50%"">"	der Sport <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Sport_der_dwdownload.mp3]		kein-problem
"student (male)<br><img src=""39539033_507.jpg"" width=""50%"" height=""50%"">"	der Student, die Studenten		[sound:BAKU_A1_Student_dwdownload.mp3]		kein-problem
"student (female)<br><img src=""39539047_507.jpg"" width=""50%"" height=""50%"">"	die Studentin, die Studentinnen		[sound:BAKU_A1_Studentin_dwdownload.mp3]		kein-problem
to study (something, at a college or university)	(etwas) studieren <br><small><i>studiert, studierte, hat studiert</i></small>		[sound:BAKU_A1_studieren_dwdownload.mp3]		kein-problem
"supermarket<br><img src=""39539075_507.jpg"" width=""50%"" height=""50%"">"	der Supermarkt, die Supermärkte 		[sound:BAKU_A1_Supermarkt_dwdownload.mp3]		kein-problem
"taxi<br><img src=""39539089_507.jpg"" width=""50%"" height=""50%"">"	das Taxi, die Taxis <br><small><i>alternativ: die Taxe, die Taxen</i></small>		[sound:BAKU_A1_Taxi_dwdownload.mp3]		kein-problem
"telephone<br><img src=""39538927_507.jpg"" width=""50%"" height=""50%"">"	das Telefon, die Telefone 		[sound:BAKU_A1_Telefon_dwdownload.mp3]		kein-problem
"theater<br><img src=""39538822_507.jpg"" width=""50%"" height=""50%"">"	das Theater, die Theater 		[sound:BAKU_A1_Theater_dwdownload.mp3]		kein-problem
"toilet<br><img src=""39538912_507.jpg"" width=""50%"" height=""50%"">"	die Toilette, die Toiletten		[sound:BAKU_A1_Toilette_dwdownload.mp3]		kein-problem
"university; college<br><img src=""39538898_507.jpg"" width=""50%"" height=""50%"">"	die Uni, die Unis <br><small><i>Kurzform von: Universität</i></small><br><br>	die Universität, die Universitäten  <br><small><i>Kurzform: die Uni, die Unis</i></small>	[sound:BAKU_A1_uni_dwdownload.mp3]	[sound:BAKU_A1_Universitaet_dwdownload.mp3]	kein-problem
"downtown; city center<br><img src=""39630606_507.jpg"" width=""50%"" height=""50%"">"	das Zentrum, die Zentren		[sound:BAKU_A1_Zentrum_dwdownload.mp3]		kein-problem
Goodbye.	Auf Wiedersehen.		[sound:BAKU_A1_Auf_Wiedersehen_dwdownload.mp3]		tschüss
See you soon.	Bis bald.		[sound:A1_E0_L3_S5_A3_Audio1_dwdownload.mp3]		tschüss
Thank you!	danke schön		[sound:BAKU_A2_danke_schoen_dwdownload.mp3]		tschüss
Have a good trip!	Gute Reise.		[sound:BAKU_A1_gute_reise_dwdownload.mp3]		tschüss
help	die Hilfe, die Hilfen		[sound:BAKU_A1_Hilfe_dwdownload.mp3]		tschüss
yes	ja		[sound:BAKU_A1_ja_dwdownload.mp3]		tschüss
So long!; Take care!	Mach’s gut!		[sound:BAKU_A1_machs_gut_dwdownload.mp3]		tschüss
"bag<br><img src=""39539012_507.jpg"" width=""50%"" height=""50%"">"	die Tüte, die Tüten<br><br>	die Tasche, die Taschen	[sound:BAKU_A1_Tuete_dwdownload.mp3]	[sound:BAKU_A1_Tasche_dwdownload.mp3]	tschüss
Bye.	Tschüss.		[sound:BAKU_A1_tschuess_dwdownload.mp3]		tschüss
Many thanks!	Vielen Dank.		[sound:BAKU_A1_Vielen_Dank_dwdownload.mp3]		tschüss
"address<br><img src=""39538806_507.jpg"" width=""50%"" height=""50%"">"	die Adresse, die Adressen 		[sound:BAKU_A1_Adresse_dwdownload.mp3]		von-a-bis-z
here you go; please; if you please	bitte <br><small><i>Kurzform von: bitte schön</i></small>		[sound:BAKU_A1_bitte_dwdownload.mp3]		von-a-bis-z
"letter (of the alphabet)<br><img src=""39538870_507.jpg"" width=""50%"" height=""50%"">"	der Buchstabe, die Buchstaben 		[sound:BAKU_A1_Buchstabe_dwdownload.mp3]		von-a-bis-z
to spell (something)	(etwas) buchstabieren <br><small><i>buchstabiert, buchstabierte, hat buchstabiert</i></small>		[sound:BAKU_A1_buchstabieren_dwdownload.mp3]		von-a-bis-z
Could you please spell that?	Bitte buchstabieren Sie das.<br><br>	Bitte buchstabiere das.	[sound:BAKU_A1_bitte_buchstabieren_sie_das_dwdownload.mp3]	[sound:BAKU_A1_bitte_buchstabiere_das_dwdownload.mp3]	von-a-bis-z
that	das		[sound:BAKU_A1_das_dwdownload.mp3]		von-a-bis-z
"to fly; to fly in an airplane<br><img src=""39450078_507.jpg"" width=""50%"" height=""50%"">"	fliegen <br><small><i>fliegt, flog, ist geflogen</i></small>		[sound:BAKU_A1_fliegen_dwdownload.mp3]		von-a-bis-z
"street number<br><img src=""39560750_507.jpg"" width=""50%"" height=""50%"">"	die Hausnummer, die Hausnummern 		[sound:BAKU_A1_Hausnummer_dwdownload.mp3]		von-a-bis-z
Slowly, please.	Langsam bitte.		[sound:BAKU_A1_langsam_bitte_dwdownload.mp3]		von-a-bis-z
mom; mother	die Mama, die Mamas 		[sound:BAKU_A1_Mama_dwdownload.mp3]		von-a-bis-z
name	der Name, die Namen 		[sound:BAKU_A1_Name_dwdownload.mp3]		von-a-bis-z
My name is ...	Mein Name ist ...		[sound:BAKU_A1_mein_name_ist_dwdownload.mp3]		von-a-bis-z
What is your name? (informal)	Wie ist dein Name?<br><br>	Wie heißt du?	[sound:BAKU_A1_wie_ist_dein_name_dwdownload.mp3]	[sound:BAKU_A1_wie_heisst_du_dwdownload.mp3]	von-a-bis-z
What is your name? (formal)	Wie ist Ihr Name?<br><br>	Wie heißen Sie?	[sound:BAKU_A1_wie_ist_ihr_name_dwdownload.mp3]	[sound:BAKU_A1_wie_heissen_sie_dwdownload.mp3]	von-a-bis-z
no	nein		[sound:BAKU_A1_nein_dwdownload.mp3]		von-a-bis-z
again	noch einmal <br><small><i>Kurzform: noch mal</i></small><br><br>	wieder	[sound:BAKU_A1_noch_einmal_dwdownload.mp3]	[sound:BAKU_A1_wieder_dwdownload.mp3]	von-a-bis-z
Again, please.	Noch einmal bitte.		[sound:BAKU_A1_noch_einmal_bitte_dwdownload.mp3]		von-a-bis-z
"street; road<br><img src=""39560778_507.jpg"" width=""50%"" height=""50%"">"	die Straße, die Straßen 		[sound:BAKU_A1_Strasse_dwdownload.mp3]		von-a-bis-z
to search for something; to look for something	etwas suchen <br><small><i>sucht, suchte, hat gesucht</i></small>		[sound:BAKU_A1_suchen_dwdownload.mp3]		von-a-bis-z
aunt	die Tante, die Tanten 		[sound:BAKU_A1_Tante_dwdownload.mp3]		von-a-bis-z
How do you write/spell that?	Wie schreibt man das?		[sound:BAKU_A1_wie_schreibt_man_das_dwdownload.mp3]		von-a-bis-z
but	aber		[sound:BAKU_A1_aber_dwdownload.mp3]		ich-heiße-emma
That/this is Nico.	Das ist Nico.		[sound:A1_E1_L2_S4_A4_Loesungsaudio_dwdownload.mp3]		ich-heiße-emma
German teacher (male)	der Deutschlehrer, die Deutschlehrer		[sound:BAKU_A1_Deutschlehrer_dwdownload.mp3]		ich-heiße-emma
German teacher (female)	die Deutschlehrerin, die Deutschlehrerinnen		[sound:BAKU_A1_Deutschlehrerin_dwdownload.mp3]		ich-heiße-emma
you (informal)	du		[sound:BAKU_A1_du_dwdownload.mp3]		ich-heiße-emma
You are Emma.	Du bist Emma.		[sound:BAKU_Du_bist_emma_dwdownload.mp3]		ich-heiße-emma
to be called; to be named	heißen <br><small><i>heißt, hieß, hat geheißen</i></small>		[sound:BAKU_A1_heissen_dwdownload.mp3]		ich-heiße-emma
I	ich		[sound:A1_E3_L3_S17_A2_Audio1_dwdownload.mp3]		ich-heiße-emma
I am ...	Ich bin …		[sound:BAKU_A1_ich_bin_dwdownload.mp3]		ich-heiße-emma
My name is Nico.	Ich heiße Nico.		[sound:A1_E1_L1_S1_A1_Loesungsaudio_dwdownload.mp3]		ich-heiße-emma
now	jetzt		[sound:BAKU_A1_jetzt_dwdownload.mp3]		ich-heiße-emma
Or not?; Isn't that right?	Oder?		[sound:BAKU_A1_oder_dwdownload.mp3]		ich-heiße-emma
gone	weg		[sound:BAKU_A2_weg_dwdownload.mp3]		ich-heiße-emma
who	wer		[sound:BAKU_A1_wer_dwdownload.mp3]		ich-heiße-emma
Who are you? (informal)	Wer bist du?		[sound:BAKU_A1_wer_bist_du_dwdownload.mp3]		ich-heiße-emma
Who are you? (formal)	Wer sind Sie?		[sound:BAKU_A1_wer_sind_sie_dwdownload.mp3]		ich-heiße-emma
German (language)	(das) Deutsch <br><small><i>nur Singular, selten mit Artikel</i></small>		[sound:BAKU_A1_deutsch_dwdownload.mp3]		das-ist-nico
he	er		[sound:BAKU_A1_er_dwdownload.mp3]		das-ist-nico
last name; surname	der Familienname, die Familiennamen		[sound:BAKU_A1_Familienname_dwdownload.mp3]		das-ist-nico
to help someone	(jemandem) helfen <br><small><i>hilft, half, hat geholfen</i></small>		[sound:BAKU_A1_helfen_dwdownload.mp3]		das-ist-nico
in	in<br><br>	in	[sound:BAKU_A2_in_dwdownload.mp3]	[sound:BAKU_A1_in_dwdownload.mp3]	das-ist-nico
no idea	Keine Ahnung. <br><small><i>Kurzform von: Ich habe keine Ahnung.</i></small>		[sound:BAKU_A1_Keine-Ahnung_dwdownload.mp3]		das-ist-nico
course	der Kurs, die Kurse		[sound:BAKU_A1_Kurs_dwdownload.mp3]		das-ist-nico
to learn (something)	(etwas) lernen <br><small><i>lernt, lernte, hat gelernt</i></small>		[sound:BAKU_A1_lernen_dwdownload.mp3]		das-ist-nico
she	sie		[sound:BAKU_A1_sie_dwdownload.mp3]		das-ist-nico
language	die Sprache, die Sprachen		[sound:BAKU_A1_Sprache_dwdownload.mp3]		das-ist-nico
"taxi driver (male)<br><img src=""39538884_507.jpg"" width=""50%"" height=""50%"">"	der Taxifahrer, die Taxifahrer 		[sound:BAKU_A1_Taxifahrer_dwdownload.mp3]		das-ist-nico
He is a cabdriver/taxi driver.	Er ist Taxifahrer.		[sound:BAKU_Er_ist_Taxifahrer_dwdownload.mp3]		das-ist-nico
"taxi driver (female)<br><img src=""39539061_507.jpg"" width=""50%"" height=""50%"">"	die Taxifahrerin, die Taxifahrerinnen		[sound:BAKU_A1_Taxifahrerin_dwdownload.mp3]		das-ist-nico
She is a cabdriver/taxi driver.	Sie ist Taxifahrerin.		[sound:BAKU_Sie_ist_Taxifahrerin_dwdownload.mp3]		das-ist-nico
first name; given name	der Vorname, die Vornamen		[sound:BAKU_A1_Vorname_dwdownload.mp3]		das-ist-nico
where; from where	woher		[sound:BAKU_A1_woher_dwdownload.mp3]		das-ist-nico
from	ab<br><br>	von<br><br>	[sound:BAKU_A1_ab_dwdownload.mp3]	[sound:BAKU_A1_von_dwdownload.mp3]	woher-kommst-du
"Berlin<br><img src=""39642207_507.jpg"" width=""50%"" height=""50%"">"	(das) Berlin <br><small><i>nur Singular, selten mit Artikel</i></small>		[sound:BAKU_A1_Berlin_dwdownload.mp3]		woher-kommst-du
"Germany<br><img src=""39643540_507.jpg"" width=""50%"" height=""50%"">"	(das) Deutschland <br><small><i>nur Singular, selten mit Artikel</i></small>		[sound:BAKU_A1_Deutschland_dwdownload.mp3]		woher-kommst-du
Excuse me, ...	Entschuldigung, ...		[sound:BAKU_Entschuldigung_dwdownload.mp3]		woher-kommst-du
here	hier		[sound:BAKU_A1_hier_dwdownload.mp3]		woher-kommst-du
to come	kommen <br><small><i>kommt, kam, ist gekommen</i></small>		[sound:BAKU_A1_kommen_dwdownload.mp3]		woher-kommst-du
I am from Spain.	Ich komme aus Spanien.		[sound:A1_E1_L4_S12_A2_Loesungsaudio_dwdownload.mp3]		woher-kommst-du
to make something; to do something; to be doing something	etwas machen <br><small><i>macht, machte, hat gemacht</i></small>		[sound:BAKU_A1_machen_dwdownload.mp3]		woher-kommst-du
"police<br><img src=""39556510_507.jpg"" width=""50%"" height=""50%"">"	die Polizei <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Polizei_dwdownload.mp3]		woher-kommst-du
you (formal)	Sie <br><small><i>Singular und Plural</i></small>		[sound:BAKU_A1_sie_dwdownload.mp3]		woher-kommst-du
"Spain<br><img src=""39643516_507.jpg"" width=""50%"" height=""50%"">"	(das) Spanien <br><small><i>nur Singular, selten mit Artikel</i></small>		[sound:BAKU_A1_spanien_dwdownload.mp3]		woher-kommst-du
language course	der Sprachkurs, die Sprachkurse		[sound:BAKU_A1_Sprachkurs_dwdownload.mp3]		woher-kommst-du
to speak	sprechen <br><small><i>spricht, sprach, hat gesprochen</i></small>		[sound:BAKU_A1_sprechen_dwdownload.mp3]		woher-kommst-du
You speak German well.	Sie sprechen gut Deutsch.		[sound:BAKU_SiesprechengutDeutsch_dwdownload.mp3]		woher-kommst-du
tourist (male)	der Tourist, die Touristen 		[sound:BAKU_A1_Tourist_dwdownload.mp3]		woher-kommst-du
tourist (female)	die Touristin, die Touristinnen 		[sound:BAKU_A1_Touristin_dwdownload.mp3]		woher-kommst-du
"father<br><img src=""39647632_507.jpg"" width=""50%"" height=""50%"">"	der Vater, die Väter 		[sound:BAKU_A1_Vater_dwdownload.mp3]		woher-kommst-du
what	was		[sound:BAKU_A1_was_dwdownload.mp3]		woher-kommst-du
What do you do here? (formal)	Was machen Sie hier?		[sound:A1_E1_L3_S10_A5_Loesungsaudio_dwdownload.mp3]		woher-kommst-du
What are you doing here? (informal)	Was machst du hier?		[sound:BAKU_A1_was_machst_du_hier_dwdownload.mp3]		woher-kommst-du
how	wie		[sound:BAKU_A1_wie_dwdownload.mp3]		woher-kommst-du
we	wir		[sound:BAKU_A1_wir_dwdownload.mp3]		woher-kommst-du
where	wo		[sound:BAKU_A1_wo_dwdownload.mp3]		woher-kommst-du
Where do you live? (formal)	Wo wohnen Sie?		[sound:BAKU_A1_wo_wohnen_sie_dwdownload.mp3]		woher-kommst-du
Where do you live? (informal)	Wo wohnst du?		[sound:BAKU_A1_wo_wohnst_du_dwdownload.mp3]		woher-kommst-du
Where are you from? (formal)	Woher kommen Sie?		[sound:BAKU_A1_woher_kommen_sie_dwdownload.mp3]		woher-kommst-du
Where are you from? (informal)	Woher kommst du?		[sound:BAKU_A1_woher_kommst_du_dwdownload.mp3]		woher-kommst-du
to live	wohnen <br><small><i>wohnt, wohnte, hat gewohnt</i></small>		[sound:BAKU_A1_wohnen_dwdownload.mp3]		woher-kommst-du
I live in Seville.	Ich wohne in Sevilla.		[sound:BAKU_A1_ich_wohne_in_sevilla_dwdownload.mp3]		woher-kommst-du
work; a job	die Arbeit  <br><small><i>hier nur Singular</i></small>		[sound:BAKU_die_Arbeit_dwdownload.mp3]		nico-hat-ein-problem
"car; automobile<br><img src=""39539111_507.jpg"" width=""50%"" height=""50%"">"	das Auto, die Autos		[sound:BAKU_A1_Auto_dwdownload.mp3]		nico-hat-ein-problem
"cafe<br><img src=""39936312_507.jpg"" width=""50%"" height=""50%"">"	das Café, die Cafés		[sound:BAKU_A1_Cafe_dwdownload.mp3]		nico-hat-ein-problem
it	es		[sound:BAKU_es_dwdownload.mp3]		nico-hat-ein-problem
"bicycle store<br><img src=""39556542_507.jpg"" width=""50%"" height=""50%"">"	der Fahrradladen, die Fahrradläden <br><br>	das Fahrradgeschäft, die Fahrradgeschäfte	[sound:BAKU_A1_Fahrradladen_dwdownload.mp3]	[sound:BAKU_A1_Fahrradgeschaeft_dwdownload.mp3]	nico-hat-ein-problem
"photo<br><img src=""39680357_507.jpg"" width=""50%"" height=""50%"">"	das Foto, die Fotos 		[sound:BAKU_A1_Foto_dwdownload.mp3]		nico-hat-ein-problem
"friend (male)<br><img src=""39539502_507.jpg"" width=""50%"" height=""50%"">"	der Freund, die Freunde 		[sound:BAKU_A1_Freund_dwdownload.mp3]		nico-hat-ein-problem
friend (female)	die Freundin, die Freundinnen 		[sound:BAKU_A1_Freundin_dwdownload.mp3]		nico-hat-ein-problem
to have something	etwas haben <br><small><i>hat, hatte, hat gehabt</i></small>		[sound:BAKU_A1_haben_dwdownload.mp3]		nico-hat-ein-problem
This is...	Hier ist …		[sound:BAKU_Hier_ist_dwdownload.mp3]		nico-hat-ein-problem
you (plural, informal)	ihr		[sound:BAKU_A1_ihr_dwdownload.mp3]		nico-hat-ein-problem
"mother<br><img src=""39646050_507.jpg"" width=""50%"" height=""50%"">"	die Mutter, die Mütter		[sound:BAKU_A1_Mutter_dwdownload.mp3]		nico-hat-ein-problem
number	die Zahl, die Zahlen<br><br>	die Nummer, die Nummern 	[sound:BAKU_A1_Zahl_dwdownload.mp3]	[sound:BAKU_A1_Nummer_dwdownload.mp3]	nico-hat-ein-problem
dad	der Papa, die Papas 		[sound:BAKU_A1_Papa_dwdownload.mp3]		nico-hat-ein-problem
"passport<br><img src=""39560818_507.jpg"" width=""50%"" height=""50%"">"	der Pass, die Pässe <br><small><i>Kurzform von: Reisepass</i></small>		[sound:BAKU_A1_Pass_dwdownload.mp3]		nico-hat-ein-problem
"police officer (male)<br><img src=""39392166_507.jpg"" width=""50%"" height=""50%"">"	der Polizist, die Polizisten 		[sound:BAKU_A1_Polizist_dwdownload.mp3]		nico-hat-ein-problem
police officer (female)	die Polizistin, die Polizistinnen		[sound:BAKU_die_Polizistin_dwdownload.mp3]		nico-hat-ein-problem
correct; right	richtig		[sound:BAKU_A1_richtig_dwdownload.mp3]		nico-hat-ein-problem
to be	sein <br><small><i>ist, war, ist gewesen</i></small>		[sound:BAKU_A1_sein_dwdownload.mp3]		nico-hat-ein-problem
they	sie		[sound:BAKU_A1_sie_dwdownload.mp3]		nico-hat-ein-problem
"eight<br><img src=""39579034_507.jpg"" width=""50%"" height=""50%"">"	acht		[sound:A1_E3_L3_S17_A6_Audio1_dwdownload.mp3]		zahlen-von-1-bis-100
"eighty<br><img src=""40310576_507.jpg"" width=""50%"" height=""50%"">"	achtzig		[sound:BAKU_A1_achtzig_dwdownload.mp3]		zahlen-von-1-bis-100
See you tomorrow!	Bis morgen!		[sound:BAKU_A1_bis_morgen_dwdownload.mp3]		zahlen-von-1-bis-100
"three<br><img src=""39578998_507.jpg"" width=""50%"" height=""50%"">"	drei		[sound:BAKU_A1_drei_dwdownload.mp3]		zahlen-von-1-bis-100
"thirty<br><img src=""39556086_507.jpg"" width=""50%"" height=""50%"">"	dreißig		[sound:BAKU_A1_dreissig_dwdownload.mp3]		zahlen-von-1-bis-100
"one hundred<br><img src=""39556072_507.jpg"" width=""50%"" height=""50%"">"	einhundert		[sound:BAKU_A1_einhundert_dwdownload.mp3]		zahlen-von-1-bis-100
invitation	die Einladung, die Einladungen 		[sound:BAKU_A1_Einladung_dwdownload.mp3]		zahlen-von-1-bis-100
"one<br><img src=""39578980_507.jpg"" width=""50%"" height=""50%"">"	eins		[sound:BAKU_A1_eins_dwdownload.mp3]		zahlen-von-1-bis-100
"eleven<br><img src=""39579016_507.jpg"" width=""50%"" height=""50%"">"	elf		[sound:BAKU_A1_elf_dwdownload.mp3]		zahlen-von-1-bis-100
Emma is eight years old.	Emma ist acht Jahre alt. <br><small><i>Kurzform: Emma ist acht.</i></small>		[sound:BAKU_A1_emma_ist_acht_jahre_alt_dwdownload.mp3]		zahlen-von-1-bis-100
"to celebrate<br><img src=""39645990_507.jpg"" width=""50%"" height=""50%"">"	feiern <br><small><i>feiert, feierte, hat gefeiert</i></small>		[sound:BAKU_A1_feiern_dwdownload.mp3]		zahlen-von-1-bis-100
"five<br><img src=""39578907_507.jpg"" width=""50%"" height=""50%"">"	fünf		[sound:BAKU_A1_fuenf_dwdownload.mp3]		zahlen-von-1-bis-100
"fifty<br><img src=""39556647_507.jpg"" width=""50%"" height=""50%"">"	fünfzig		[sound:BAKU_A1_fuenfzig_dwdownload.mp3]		zahlen-von-1-bis-100
"birthday<br><img src=""39556689_507.jpg"" width=""50%"" height=""50%"">"	der Geburtstag, die Geburtstage		[sound:BAKU_A1_Geburtstag_dwdownload.mp3]		zahlen-von-1-bis-100
"gift; present<br><img src=""39556814_507.jpg"" width=""50%"" height=""50%"">"	das Geschenk, die Geschenke 		[sound:BAKU_A1_Geschenk_dwdownload.mp3]		zahlen-von-1-bis-100
I am turning/going to be eight years old	Ich werde acht Jahre alt. <br><small><i>Kurzform: Ich werde acht.</i></small>		[sound:BAKU_Ich_werde_acht_dwdownload.mp3]		zahlen-von-1-bis-100
